,ticker,name,market,active
59,GTCUSD,Gitcoin,crypto,True
60,GUSDUSD,Gemini Dollar,crypto,True
61,GXCUSD,Gx Coin,crypto,True
62,GYENUSD,GYEN,crypto,True
63,HANDUSD,ShowHand,crypto,True
64,HB10USD,Huobi HB10 Index,crypto,True
65,HBARUSD,Hedera,crypto,True
66,HCUSD,HyperCash,crypto,True
67,HEZUSD,Hermez Network,crypto,True
68,HITUSD,Hit,crypto,True
69,HMTUSD,Human,crypto,True
70,HOTUSD,Holo,crypto,True
71,HPTUSD,Huobi Pool Token,crypto,True
72,HTMLUSD,HTML Coin,crypto,True
73,HTUSD,Huobi Token,crypto,True
74,ICEUSD,Popsicle Finance,crypto,True
75,ICPUSD,Internet Computer,crypto,True
76,ICXUSD,Icon,crypto,True
77,IMXUSD,Immutable X,crypto,True
78,INJUSD,Injective,crypto,True
79,INKUSD,Ink,crypto,True
80,INTUSD,Internet Node Token,crypto,True
81,IOSTUSD,IOST,crypto,True
82,IOSUSD,IOS,crypto,True
83,IOTAUSD,IOTA,crypto,True
84,IOTUSD,IOTA,crypto,True
85,IOTXUSD,IoTeX,crypto,True
86,IPLUSD,InsurePal,crypto,True
87,IQXUSD,IQ Token,crypto,True
88,ITCUSD,InformationCoin,crypto,True
89,JASMYUSD,JasmyCoin,crypto,True
90,JSTUSD,JUST,crypto,True
91,KAVAUSD,Kava,crypto,True
92,KEEPUSD,Keep Network,crypto,True
93,KNCUSD,Kyber Network,crypto,True
94,KRLUSD,Kryll,crypto,True
95,KRMUSD,Karma,crypto,True
96,KSMUSD,Kusama,crypto,True
97,LCXUSD,LCX,crypto,True
98,LETUSD,LET,crypto,True
99,LINKUSD,Chainlink,crypto,True
0,LOCUSD,LockTrip,crypto,True
1,LOOMUSD,Loom,crypto,True
2,LPTUSD,Livepeer,crypto,True
3,LRCUSD,Loopring,crypto,True
4,LSKUSD,Lisk,crypto,True
9,LTCUSD,Litecoin,crypto,True
10,LUCUSD,Level Up Coin,crypto,True
11,LUNAUSD,Terra,crypto,True
12,LYMUSD,Lympo,crypto,True
13,MAIDUSD,MaidSafe,crypto,True
14,MANAUSD,Decentraland,crypto,True
15,MANUSD,Crypto-Man,crypto,True
16,MASKUSD,Mask Network,crypto,True
17,MATICUSD,Polygon,crypto,True
18,MCOUSD,Crypto.com,crypto,True
19,MDSUSD,MediShares,crypto,True
20,MESSEUSD,MESSE TOKEN,crypto,True
21,MGOUSD,MobileGo,crypto,True
22,MIRUSD,Mirror Protocol,crypto,True
23,MITHUSD,Mithril,crypto,True
24,MITUSD,MIT Digital Currency Initiative,crypto,True
25,MKRUSD,Maker,crypto,True
26,MLNUSD,Melon,crypto,True
27,MNAUSD,Decentraland,crypto,True
28,MNXUSD,MinexCoin,crypto,True
29,MOBUSD,MobileCoin,crypto,True
30,MORPHUSD,Morpheus,crypto,True
31,MRSUSD,Marginless,crypto,True
32,MTNUSD,Medicalchain,crypto,True
33,MUSDUSD,mStable USD,crypto,True
34,NANOUSD,Nano,crypto,True
35,NASUSD,Nebulas,crypto,True
36,NCAUSD,Nucleus Vision,crypto,True
37,NCTUSD,PolySwarm,crypto,True
38,NEARUSD,NEAR Protocol,crypto,True
39,NEOUSD,Neo,crypto,True
40,NEXOUSD,Nexo,crypto,True
41,NGCUSD,NAGA,crypto,True
42,NIOUSD,Autonio,crypto,True
43,NKNUSD,NKN,crypto,True
44,NMRUSD,Numeraire,crypto,True
45,NOAHUSD,Noah Coin,crypto,True
46,NTKUSD,Neurotoken,crypto,True
47,NULSUSD,Nuls,crypto,True
48,NUUSD,NuCypher,crypto,True
49,NXTUSD,NXT,crypto,True
50,OAXUSD,OAX,crypto,True
51,OCEANUSD,Ocean Protocol,crypto,True
52,OCNUSD,Odyssey,crypto,True
53,ODEUSD,ODEM,crypto,True
54,OGNUSD,Origin Protocol,crypto,True
55,OMGUSD,OmiseGO,crypto,True
56,ONLUSD,On.Live,crypto,True
57,ONTUSD,Ontology,crypto,True
58,ORNUSD,Orion Protocol,crypto,True
59,OXTUSD,Orchid,crypto,True
60,OXYUSD,Oxygen,crypto,True
61,PAIUSD,Project PAI,crypto,True
62,PASUSD,Pascal,crypto,True
63,PATUSD,Patron,crypto,True
64,PAXGUSD,PAX Gold,crypto,True
65,PAXUSD,Paxos Standard Token,crypto,True
66,PERPUSD,Perpetual Protocol,crypto,True
67,PETHUSD,Dai,crypto,True
68,PLANETSUSD,PlanetWatch,crypto,True
69,PLAUSD,PlayDapp,crypto,True
70,PMAUSD,PumaPay,crypto,True
71,PNKUSD,Kleros,crypto,True
72,POAUSD,POA Network,crypto,True
73,POLYUSD,Polymath,crypto,True
74,PPCUSD,Peercoin,crypto,True
75,QNTUSD,Quant,crypto,True
76,QNTUUSD,Quanta Utility Token,crypto,True
77,QRDOUSD,Qredo,crypto,True
78,QSHUSD,QASH,crypto,True
79,QTFUSD,Quantfury Token,crypto,True
80,QTMUSD,Quantreum,crypto,True
81,QTUMUSD,Quantum,crypto,True
82,QUICKUSD,QuickSwap,crypto,True
83,RAIUSD,Rai Reflex Index,crypto,True
84,RARIUSD,Rarible,crypto,True
85,REEFUSD,Reef,crypto,True
86,RENUSD,Ren,crypto,True
87,REPUSD,Augur,crypto,True
88,REQUSD,Request,crypto,True
89,RIFUSD,RIF Token,crypto,True
90,RLCUSD,iExec,crypto,True
91,RLYUSD,Rally,crypto,True
92,RNDRUSD,Render Token,crypto,True
93,ROSEUSD,Oasis Network,crypto,True
94,RUFFUSD,Ruff,crypto,True
95,SANDUSD,The Sandbox,crypto,True
96,SANUSD,Santiment Network Token,crypto,True
97,SCUSD,Siacoin,crypto,True
98,SEEUSD,See,crypto,True
99,SENTUSD,Sentinel,crypto,True
0,SENUSD,Consensus,crypto,True
1,SHIBUSD,Shiba Inu,crypto,True
2,SKLUSD,SKALE Network,crypto,True
3,SMARTUSD,SmartCash,crypto,True
4,SMTUSD,SmartMesh,crypto,True
5,SNCUSD,SunContract,crypto,True
6,SNTUSD,Status,crypto,True
7,SNXUSD,Synthetix,crypto,True
8,SOCUSD,All Sports,crypto,True
9,SOLUSD,Solana,crypto,True
10,SPELLUSD,Spell Token,crypto,True
11,SPFUSD,SportyCo,crypto,True
12,SRMUSD,Serum,crypto,True
13,SRNUSD,SIRIN LABS Token,crypto,True
14,STEEMUSD,Steem,crypto,True
15,STORJUSD,Storj,crypto,True
16,STQUSD,Storiqa,crypto,True
